si	_		todo			
todo	_		ello			
ello	_		fuera			
fuera	_		poco			
poco				,	_	McDevitt
McDevitt				,	_	de
de	_		nuevo			
nuevo	_		sorprendente			
sorprendente				,	_	destaca
destaca	_		también			
también	_		en			
en	_		esta			
esta	_		su			
su	_		última			
última	_		novela			
novela	_		por			
por	_		la			
la	_		facilidad			
facilidad	_		casi			
casi	_		heinleniana			
heinleniana	_		con			
con	_		que			
que	_		muestra			
muestra	_		la			
la	_		forma			
forma	_		de			
de	_		vida			
vida	_		y			
y	_		los			
los	_		gadgets			
gadgets	_		tecnológicos			
tecnológicos	_		de			
de	_		que			
que	_		dispone			
dispone	_		la			
la	_		sociedad			
sociedad	_		galáctica			
galáctica	_		del			
del	_		futuro			
futuro	_		y			
y	_		su			
su	_		posible			
posible	_		uso			
uso	_		en			
en	_		una			
una	_		investigación			
investigación	_		histórica			
histórica				.	\n\n	Obra
Obra	_		interesante			
interesante	_		de			
de	_		un			
un	_		autor			
autor	_		interesante			
interesante				,	_	UN
UN	_		TALENTO			
TALENTO	_		PARA			
PARA	_		LA			
LA	_		GUERRA			
GUERRA	_		supone			
supone	_		una			
una	_		amena			
amena	_		narración			
narración	_		que			
que	_		aúna			
aúna	_		la			
la	_		aventura			
aventura	_		y			
y	_		el			
el	_		misterio			
misterio	_		con			
con	_		intencionadas			
intencionadas	_		sugerencias			
sugerencias	_		sobre			
sobre	_		la			
la	_		manipulación			
manipulación	_		del			
del	_		recuerdo			
recuerdo	_		histórico			
histórico				.	_	Por
Por	_		todo			
todo	_		ello			
ello	_		me			
me	_		siento			
siento	_		capaz			
capaz	_		de			
de	_		repetir			
repetir	_		las			
las	_		mismas			
mismas	_		palabras			
palabras	_		con			
con	_		que			
que	_		Terry			
Terry	_		Carr			
Carr	_		finalizaba			
finalizaba	_		la			
la	_		presentación			
presentación	_		de			
de	_		la			
la	_		edición			
edición	_		norteamericana			
norteamericana	_		de			
de	_		EL			
EL	_		TEXTO			
TEXTO	_		DE			
DE	_		HÉRCULES			
HÉRCULES				.	_	Palabras
Palabras	_		que			
que	_		yo			
yo	_		aplicaría			
aplicaría	_		igualmente			
igualmente	_		a			
a	_		UN			
UN	_		TALENTO			
TALENTO	_		PARA			
PARA	_		LA			
LA	_		GUERRA			
es	_		sobre			
sobre	_		todo			
todo	_		una			
una	_		obra			
obra	_		para			
para	_		ser			
ser	_		disfrutada			
disfrutada				.	_	Estoy
Estoy	_		convencido			
convencido	_		de			
de	_		que			
que	_		os			
os	_		gustará			
gustará	_		muchísimo			
muchísimo				,	_	y
y				,	_	debo
debo	_		decirlo			
decirlo				,	_	es
es	_		para			
para	_		mí			
mí	_		un			
un	_		placer			
placer	_		auspiciar			
auspiciar	_		esta			
esta	_		edición			
edición				.	\n\n\n\n\n\n	MIQUEL
MIQUEL	_		BARCELÓ			
BARCELÓ	\n\n\n\n\n\n		A			
A				.	_	Josepb
Josepb	_		H			
H				.	_	Parroff
Parroff				,	\n\n	Rvdo
Rvdo				.	_	L
L				.	_	Richard
Richard	_		Casavant			
Casavant				,	_	m
m				.		s
s				.,	\n\n	y
y	_		Rvdo			
Rvdo				.	_	Robert
Robert	_		E			
E				.	_	Carson
Carson				,	_	O
O				.	_	Praem
Praem				.,	\n\n	por
por	_		las			
las	_		deudas			
deudas	_		que			
que	_		nunca			
nunca	_		puedo			
puedo	_		pagarles			
pagarles				.	\n\n\n\n\n\n	Agradecimientos
Agradecimientos	\n\n\n		Estoy			
Estoy	_		en			
en	_		deuda			
deuda	_		con			
con	_		James			
James	_		H			
H				.	_	Sharp
Sharp				,	_	del
del	_		Albert			
Albert	_		Einstein			
Einstein	_		Planetarium			
Planetarium	_		en			
en	_		la			
la	_		Institución			
Institución	_		Smithsonian			
Smithsonian				,	_	por
por	_		su			
su	_		asistencia			
asistencia	_		técnica			
técnica				.	_	También
También	_		desearía			
desearía	_		expresar			
expresar	_		mi			
mi	_		agradecimiento			
agradecimiento	_		a			
a	_		Lewis			
Lewis	_		Shiner			
Shiner	_		por			
por	_		sus			
sus	_		sugerencias			
sugerencias	_		y			
y	_		el			
el	_		tiempo			
tiempo	_		que			
que	_		me			
me	_		dedicó			
dedicó				;	_	a
a	_		Ginjer			
Ginjer	_		Buchanan			
Buchanan	_		por			
por	_		sus			
sus	_		consejos			
consejos	_		respecto			
respecto	_		al			
al	_		manuscrito			
manuscrito				;	_	y
y	_		a			
a	_		Maureen			
Maureen	_		McDevitt			
McDevitt				,	_	cuya
cuya	_		presencia			
presencia	_		se			
se	_		siente			
siente	_		por			
por	_		todo			
todo	_		el			
el	_		mundo			
mundo	_		de			
de	_		Christopher			
Christopher	_		Sim			
Sim				.	\n\n\n\n\n\n	Prólogo
Prólogo	\n\n\n		El			
El	_		aire			
aire	_		estaba			
estaba	_		cargado			
cargado	_		de			
de	_		incienso			
incienso	_		y			
y	_		del			
del	_		dulce			
dulce	_		olor			
olor	_		de			
de	_		la			
la	_		cera			
cera	_		caliente			
caliente				.	\n\n	A
A	_		Cam			
Cam	_		Chulohn			
Chulohn	_		le			
le	_		gustaba			
gustaba	_		la			
la	_		sencilla			
sencilla	_		capilla			
capilla	_		de			
de	_		piedra			
piedra				.	_	Se
Se	_		arrodilló			
arrodilló	_		en			
en	_		el			
el	_		rústico			
rústico	_		banco			
banco	_		y			
y	_		miró			
miró	_		el			
el	_		goteo			
goteo	_		del			
del	_		agua			
agua	_		cristalina			
cristalina	_		por			
por	_		entre			
entre	_		los			
los	_		dedos			
dedos	_		del			
del	_		padre			
padre	_		Curry			
Curry	_		en			
en	_		el			
el	_		pote			
pote	_		de			
de	_		plata			
plata	_		que			
que	_		sostenía			
sostenía	_		el			
el	_		monaguillo			
monaguillo				.	_	El
El	_		eterno			
eterno	_		símbolo			
símbolo	_		del			
del	_		esfuerzo			
esfuerzo	_		del			
del	_		hombre			
hombre	_		por			
por	_		evadir			
evadir	_		la			
la	_		responsabilidad			
responsabilidad	_		siempre			
siempre	_		le			
le	_		había			
había	_		parecido			
parecido	_		a			
a	_		Chulohn			
Chulohn	_		el			
el	_		más			
más	_		significativo			
significativo	_		de			
de	_		todos			
todos	_		los			
los	_		antiguos			
antiguos	_		rituales			
rituales				.	_	Ahí
Ahí	_		se			
se	_		encuentra			
encuentra				,	_	pensó
pensó				,	_	la
la	_		esencia			
esencia	_		de			
de	_		nuestra			
nuestra	_		naturaleza			
naturaleza				,	_	desplegada
desplegada	_		sin			
sin	_		cesar			
cesar	_		a			
a	_		través			
través	_		de			
de	_		los			
los	_		tiempos			
tiempos	_		para			
para	_		todos			
todos	_		los			
los	_		que			
que	_		puedan			
