>> Total palabras: 75628
>> Total diferentes: 11374
-------
id	pal	freq
813	suceder	5
814	inocencia	13
815	cayeron	3
816	mayoría	1
817	beneficio	5
818	íntimos	2
819	embargaba	3
820	virtud	2
821	contenerlos	2
822	arrebatarla	1
823	desolación	3
824	cuanto	38
825	callando	1
826	agustín	1
827	vírgenes	1
828	laguardia	17
829	causticidad	2
830	permíteme	1
831	sé	27
832	_titiritero_	1
833	sonrió	11
834	sí	91
835	empleados	1
836	problemas	2
837	tuviera	6
838	parroquiales	1
839	ejecutó	2
840	amada	1
841	tiras	2
842	tirar	3
843	naturalmente	4
844	feos	1
845	presentándolo	1
846	voces	3
847	joaquín	2
848	legua	1
849	torció	1
850	disgustados	1
851	saboreaban	1
852	empelotaron	1
853	bastante	34
854	toco	2
855	ojeada	1
856	indignado	2
857	llega	5
858	colocan	1
859	inspiraba	6
860	plástico	1
861	solteros	1
862	perdonaba	3
863	acontecimiento	2
864	envueltas	1
865	pruebo	1
866	confundiría	1
867	ázoe	1
868	inspiraban	1
869	dato	6
870	ardiente	3
871	enteraron	1
872	desbaratar	2
873	natural	13
874	yerbas	1
875	sr	14
876	consuelo	3
877	su	1005
878	si	225
879	detuviese	2
880	sa	1
881	mezcla	2
882	se	1257
883	refugiado	1
884	pestañear	1
885	principio	2
886	murmurar	3
887	principia	1
888	hablasen	2
889	experimento	6
890	citado	1
891	goloso	1
892	encantadora	2
893	cólera	7
894	prudencia	1
895	sentasen	1
896	serenamente	1
897	jugando	1
898	tuteó	1
899	presenciaban	1
900	coronaría	1
901	museo	1
902	reinas	1
903	palpaba	1
904	entrada	3
905	insomnio	1
906	trabajaremos	1
907	deseaban	1
908	hallaron	3
909	arrepentido	1
910	torbellinos	1
911	temer	1
912	lorenzo_	1
913	escarnio	1
914	quitó	4
915	descocados	1
916	tila	1
917	enrojeció	1
918	mañana	31
919	retorcía	1
920	émulos	1
921	sepan	1
922	sepas	1
923	populares	1
924	determinan	1
925	bandera	2
926	dominarlas	1
927	valerosamente	1
928	auguró	1
929	niños	12
930	condescendiente	2
931	fatídico	1
932	maestros	1
933	atravesando	1
934	bellas	5
935	experimentó	5
936	visillo	1
937	organizar	1
938	caramelos	1
939	caracterizan	2
940	parís	4
941	serenos	4
942	apestado	1
943	pimpollos	1
944	imaginación	13
945	maestro_	1
946	calumnia	2
947	lirismo	1
948	señorío	1
949	constipados	1
950	sanos	4
951	desgaire	1
952	sacado	2
953	tienen	16
954	huevos	2
955	poema	2
956	costaría	1
957	quite	2
958	llenaba	4
959	afirmación	2
960	lenguas	1
961	afirmaciones	1
962	simultáneamente	2
963	tienes	13
964	inferiores	2
965	propios	1
966	apartes	1
967	impuro	1
968	horas	39
969	divertirse	1
970	ceñida	1
971	mucha	10
972	apresuró	18
973	audaz	1
974	chirrido	2
975	mucho	60
976	almas	1
977	ávida	1
978	apodo	1
979	enemigo	1
980	arrastrase	1
981	carmesí	1
982	ilustres	1
983	notó	1
984	están	9
985	decorado	2
986	torcido	1
987	estás	8
988	cita	2
989	robusto	1
990	brotaba	1
991	pesadumbres	1
992	descripción	1
993	cerebro	27
994	fragatas	1
995	amarró	1
996	interesantes	3
997	envolviendo	2
998	beber	3
999	inventor	1
1000	adivinaciones	1
1001	fallecido	1
1002	batió	1
1003	rival	1
1004	persuadirse	1
1005	estancias	1
1006	futura	4
1007	futuro	3
1008	producía	8
1009	sabroso	1
1010	admirando	1
1011	san	17
1012	mágico	2
1013	siendo	5
1014	culpable	1
1015	callada	1
1016	empuje	1
1017	anhelaba	1
1018	trastera	4
1019	muriendo	1
1020	mangas	3
1021	salvadora	1
1022	apetecían	1
1023	meditaba	1
1024	dirigiendo	4
1025	conocedor	1
1026	nota	3
1027	solicitaba	1
1028	convulsiva	1
1029	humanas	2
1030	asistentes	3
1031	explosiones	1
1032	sortijitas	1
1033	deshonrao	1
1034	bordadas	1
1035	barómetros	1
1036	perdieron	3
1037	religiones	3
1038	termómetros	1
1039	tristes	5
1040	santidad	2
1041	decirte	3
1042	merece	4
1043	ésas	2
1044	feroz	6
1045	vasto	1
1046	serie	7
1047	sala	12
1048	vasta	1
1049	debilidad	4
1050	perfección	1
1051	sale	1
1052	acabado	2
1053	artistas	3
1054	talla	1
1055	dolor	21
1056	examinarlo	1
1057	dedillo	1
1058	cómodas	1
1059	puntos	2
1060	cobre	2
1061	blandir	1
1062	muñeco	2
1063	festejarla	1
1064	despreciables	1
1065	cogió	5
1066	cortina	1
1067	armarios	1
1068	refería	2
1069	cruzarme	1
1070	muñeca	2
1071	igualdad	1
1072	polémicas	1
1073	fibra	1
