>> Total palabras: 9225
>> Total diferentes: 2836
-------
cnt	freq
1	1982
2	368
3	145
4	93
5	50
6	34
7	29
10	20
8	19
9	16
12	7
15	7
11	6
16	5
19	4
20	4
13	3
14	3
18	3
17	2
24	2
46	2
96	2
21	1
23	1
25	1
35	1
38	1
39	1
40	1
41	1
44	1
50	1
52	1
53	1
55	1
56	1
58	1
66	1
74	1
97	1
101	1
114	1
1429	desempeñaba	1
1430	desempleados	1
1431	desenfrenada	1
1432	desenredado	1
1433	deseos	1
1434	desespera	1
1435	desesperación	1
1436	desesperada	1
1437	desesperado	1
1438	desgraciada	1
1439	desgraciadas	1
1440	designios	1
1441	deslizaba	1
1442	desorientados	1
1443	despedazada	1
1444	despedido	1
1445	despedidos	1
1446	despedirse	1
1447	despejada	1
1448	desperdiciado	1
1449	despidió	1
1450	despilfarro	1
1451	despoblada	1
1452	despojo	1
1453	destacó	1
1454	desternillarse	1
1455	destino	1
1456	destruido	1
1457	desuso	1
1458	desventaja	1
1459	detalle	1
1460	detener	1
1461	determinados	1
1462	detroit	1
1463	deudas	1
1464	devolverme	1
1465	devolviera	1
1466	devuélvanme	1
1467	di	1
1468	diablo	1
1469	diciendo	1
1470	dictadores	1
1471	diera	1
1472	dificultades	1
1473	digamos	1
1474	digo	1
1475	digresiva	1
1476	dimensiones	1
1477	dio	1
1478	dios	1
1479	directo	1
1480	diremos	1
1481	discusiones	1
1482	discusión	1
1483	discute	1
1484	discutido	1
1485	diseñar	1
1486	diseño	1
1487	disgustaba	1
1488	disgusto	1
1489	disgustos	1
1490	disminuidas	1
1491	disminuyendo	1
1492	disponer	1
1493	dista	1
1494	distancia	1
1495	divirtiendo	1
1496	divorciado	1
1497	divorcio	1
1498	diván	1
1499	doblar	1
1500	domina	1
1501	domingo	1
1502	dominio	1
1503	dowson	1
1504	drenaje	1
1505	duermen	1
1506	dé	1
1507	débil	1
1508	décadas	1
1509	echa	1
1510	echado	1
1511	echaran	1
1512	echará	1
1513	echemos	1
1514	eché	1
1515	echó	1
1516	editor	1
1517	efecto	1
1518	eficaz	1
1519	eficazmente	1
1520	eficiencia	1
1521	eh	1
1522	einstein	1
1523	eje	1
1524	ejercer	1
1525	ejército	1
1526	electrizado	1
1527	elefantes	1
1528	elegido	1
1529	elegir	1
1530	elemento	1
1531	elevándose	1
1532	elevó	1
1533	eléctrico	1
1534	embarazosas	1
1535	embarcada	1
1536	emite	1
1537	emoción	1
1538	empeorar	1
1539	empeoraran	1
1540	empezar	1
1541	empezaran	1
1542	empezaremos	1
1543	empezó	1
1544	empleada	1
1545	empleo	1
1546	empujoncito	1
1547	encanto	1
1548	encargará	1
1549	encargo	1
1550	encerremos	1
1551	encontraba	1
1552	encontrado	1
1553	encontramos	1
1554	encuentran	1
